,source,target,value
1,Male,Under 1,4822
2,Male,1 to 4,25967
3,Male,5 to 9,34809
4,Male,10 to 14,34856
5,Male,15 to 19,28598
6,Male,20 to 24,40416
7,Male,25 to 29,87008
8,Male,30 to 34,102764
9,Male,35 to 39,92963
10,Male,40 to 44,84415
11,Male,45 to 49,84773
12,Male,50 to 54,86377
13,Male,55 to 59,75822
14,Male,60 to 64,59878
15,Male,65 to 69,44356
16,Male,Above 70,50434
17,Female,Under 1,4703
18,Female,1 to 4,25560
19,Female,5 to 9,33708
20,Female,10 to 14,34598
21,Female,15 to 19,32718
22,Female,20 to 24,53785
23,Female,25 to 29,105723
24,Female,30 to 34,97400
25,Female,35 to 39,82010
26,Female,40 to 44,74902
27,Female,45 to 49,75172
28,Female,50 to 54,80289
29,Female,55 to 59,70316
30,Female,60 to 64,56953
31,Female,65 to 69,41861
32,Female,Above 70,43826
